0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19 :1510
5,18,2,0,15,10,14,19,4,7,16,1,13,12,9,8,3,11,6,17 :1418
1,4,0,11,13,7,15,14,5,17,16,19,9,10,12,6,18,3,8,2 :1422
14,11,3,4,17,7,18,19,8,13,16,9,10,5,6,0,12,2,15,1 :1427
14,10,9,5,4,0,11,13,1,7,16,6,18,8,17,19,3,15,12,2 :1462
11,0,8,18,13,9,6,1,12,17,10,7,19,16,3,15,4,2,5,14 :1469
11,19,10,14,7,8,2,1,3,17,13,16,9,0,12,5,18,4,15,6 :1473
19,3,9,11,5,17,6,13,18,1,12,2,0,4,14,16,15,8,10,7 :1476
5,0,12,6,14,18,3,9,2,15,10,8,13,16,1,4,19,7,17,11 :1486
15,0,18,4,8,11,19,17,13,2,14,5,9,16,12,3,7,10,1,6 :1490
12,13,17,3,6,4,11,1,10,2,7,8,19,14,5,9,16,15,18,0 :1492
18,6,11,14,2,8,0,16,19,3,1,17,7,9,13,12,15,5,10,4 :1508
9,1,15,14,4,12,13,7,10,6,0,19,5,8,18,17,3,16,2,11 :1514
19,8,17,14,0,4,6,16,1,13,9,5,3,2,7,10,18,15,12,11 :1515
4,15,18,2,11,16,14,8,13,1,19,9,3,12,5,7,10,6,17,0 :1521
15,5,17,11,6,0,19,14,18,9,1,7,13,8,2,12,3,4,10,16 :1527
0,6,12,19,7,16,9,14,11,17,4,15,2,5,13,3,1,8,18,10 :1528
9,19,14,12,5,18,15,0,7,4,2,3,17,13,1,16,10,11,6,8 :1535
1,16,4,11,6,12,8,10,13,17,18,2,3,0,19,9,7,15,5,14 :1540
16,3,5,11,15,2,7,13,10,0,17,18,12,19,14,4,6,9,8,1 :1543

19,3,9,5,4,0,11,13,1,7,16,6,18,8,17,12,2,14,15,10 :1417
14,3,4,19,9,0,11,13,1,7,6,17,18,8,16,10,5,12,2,15 :1418
5,18,2,0,15,10,14,19,4,7,16,1,13,12,9,8,3,11,6,17 :1418
1,4,0,11,13,7,15,14,5,17,16,19,9,10,12,6,18,3,8,2 :1422
1,4,0,11,13,7,15,14,5,17,16,19,9,10,12,6,18,3,8,2 :1422
14,11,3,4,17,7,18,19,8,13,16,9,10,5,6,0,12,2,15,1 :1427
14,4,0,11,1,7,18,19,8,13,16,9,10,5,6,17,3,15,12,2 :1433
11,13,7,5,17,19,9,10,18,1,12,2,0,4,14,16,15,8,6,3 :1451
14,11,4,7,8,13,0,2,5,17,16,19,9,10,12,6,18,3,15,1 :1460
14,10,9,5,4,0,11,13,1,7,16,6,18,8,17,19,3,15,12,2 :1462
1,4,11,7,15,14,17,19,8,13,16,9,10,5,6,0,12,2,18,3 :1471
11,13,1,2,0,4,14,15,5,17,16,19,9,10,12,6,18,3,8,7 :1502
14,10,9,11,5,8,6,13,18,1,12,17,0,4,7,16,2,19,3,15 :1520
18,6,0,3,8,11,19,17,13,2,14,5,9,16,1,7,12,15,10,4 :1533
15,0,10,14,7,8,2,1,3,17,13,16,18,4,11,19,5,9,12,6 :1536
18,6,0,4,8,19,17,11,13,2,14,5,9,16,3,1,7,12,15,10 :1550
10,7,18,4,8,11,19,17,13,2,14,5,1,3,16,9,0,12,15,6 :1554
15,18,4,11,2,8,0,16,19,3,1,17,7,9,13,14,5,12,10,6 :1557
5,17,6,18,11,16,14,8,13,1,19,9,3,12,2,0,4,15,10,7 :1570
15,11,16,14,5,17,6,13,18,1,12,2,0,4,8,19,9,3,7,10 :1589

3,4,0,11,13,7,15,14,5,17,16,19,9,10,1,6,18,8,12,2 :1370
3,4,0,11,13,7,15,14,5,17,16,19,9,10,1,6,18,8,12,2 :1370
19,3,9,5,4,0,11,13,1,7,16,6,18,8,17,12,2,14,15,10 :1417
5,18,2,0,15,10,14,19,4,7,16,1,13,12,9,8,3,11,6,17 :1418
14,11,3,4,19,9,0,13,1,7,6,17,18,8,16,10,5,12,2,15 :1418
5,18,2,0,15,10,14,19,4,7,16,1,13,12,9,8,3,11,6,17 :1418
14,3,4,19,9,0,11,13,1,7,6,17,18,8,16,10,5,12,2,15 :1418
1,4,0,11,13,7,15,14,5,17,16,19,9,10,12,6,18,3,8,2 :1422
1,4,0,11,13,7,15,14,5,17,16,19,9,10,12,6,18,3,8,2 :1422
14,3,4,11,1,7,17,19,8,13,16,9,10,5,6,0,12,18,2,15 :1440
15,14,5,17,4,0,11,13,1,7,16,6,18,8,19,9,10,12,3,2 :1447
4,15,14,5,9,0,11,13,1,7,6,17,18,8,16,19,10,12,3,2 :1466
8,4,0,11,13,7,15,14,5,17,16,2,19,9,10,12,6,18,3,1 :1468
4,8,0,11,13,7,15,14,5,17,16,19,9,2,10,12,6,18,3,1 :1468
11,13,7,18,1,4,0,2,5,17,16,19,9,10,12,6,14,15,8,3 :1471
1,11,4,7,8,13,0,2,5,17,16,15,14,19,9,10,12,6,18,3 :1472
11,2,0,5,15,10,14,19,4,7,16,1,13,12,17,9,6,18,3,8 :1500
18,2,7,1,0,4,14,15,5,17,16,19,9,10,13,12,8,3,11,6 :1517
